"V1","B1_4_7","B5_4_7","L_4_7","loc.B5_4_7","B1_B5_angle_4_7","NPA_1","NPA_3","NPA_2","NPA_18","NPA_27","NPA_29","diff_NBO_1_3","diff_NBO_2_18","diff_NBO_27_29","dip_x_1","dip_y_1","dip_z_1","Total_1","dip_x_2","dip_y_2","dip_z_2","-1-3-","-2-18-","-27-29-","cross_1","cross.angle_1","para_1","para.angle_1","-5V6-","-23V24-","-25V26-","Dihedral(1_4_7_8)","Dihedral(1_2_19_27)","Dist(1, 3)","Dist(2, 18)","Dist(27, 29)","output"
"m_Br",1.74,4.8,6.46,4.51,94,0.68618,-0.61773,-0.62531,0.42298,0.77785,-0.54787,1.30391,-1.04829,1.32572,-3.5372,0.7149,-1.4856,3.9025,-1.1312,0.0894,3.7339,1789.758,3614.4793,1907.5595,1643.6589,83.3966517958222,1669.1462,3.56853358473906,1464.1233,1492.0909,1534.6083,89.3720331543966,175.429319148153,1.21236666082089,1.009699911598,1.19116511025886,58
"m_CF3",1.91,4.91,6.57,3.57,103,0.686,-0.61567,-0.62545,0.42199,0.77796,-0.54807,1.30167,-1.04744,1.32603,-4.3962,1.4806,-1.3661,4.8358,-0.9366,0.6598,4.6982,1791.8003,3612.7774,1907.3383,1668.3067,61.7405911331645,1691.414,27.4818150077167,1463.9763,1491.3419,1533.0141,89.0689045049592,175.563608477998,1.21199465774276,1.00966339998734,1.1912079279643,86
"m_CF3_p_F",1.9,4.91,6.96,3.56,101,0.6847,-0.61509,-0.62458,0.42073,0.77782,-0.54811,1.29979,-1.04531,1.32593,-4.4143,2.6645,-1.248,5.3049,-1.0341,2.1372,4.744,1792.4111,3616.9575,1906.5384,1674.2001,57.5423674709065,1699.7561,33.2278621500487,1463.3517,1491.2578,1533.925,90.0489286228529,175.044733328464,1.21186224378557,1.00950347719758,1.19126517358395,78
"m_Cl",1.7,4.51,6.38,4.44,92,0.6861,-0.61843,-0.62487,0.42303,0.77775,-0.54778,1.30453,-1.0479,1.32553,-3.5495,0.5629,-1.4775,3.8858,-1.1741,0.0907,3.703,1788.9424,3616.8873,1907.5719,1648.4704,87.6938366601711,1671.9896,0.380842082672439,1462.8965,1491.9529,1532.6515,90.0107687783133,175.142911340592,1.2124512652478,1.00958806604823,1.19114696050865,65
"m_F",1.7,3.7,6.38,4.24,93,0.68622,-0.61814,-0.62544,0.42343,0.77807,-0.5485,1.30436,-1.04887,1.32657,-3.4402,0.6658,-1.4863,3.8062,-1.1796,-0.0545,3.6184,1789.8074,3612.3982,1907.338,1668.451,88.2103469284116,1687.009,0.217607455930984,1464.7789,1492.5011,1533.5802,87.5457594998295,175.068598705897,1.21247920073789,1.00969744425991,1.19124101180827,63
"m_I",1.8,5.18,6.76,4.61,97,0.68636,-0.61735,-0.62586,0.4231,0.7781,-0.54816,1.30371,-1.04896,1.32626,-3.2916,0.7093,-1.4828,3.6792,-1.1208,-0.0237,3.5043,1790.5367,3614.5924,1907.6708,1638.6663,82.1604661014976,1664.8629,4.92492738437682,1463.3677,1491.0279,1532.0705,88.4048297526908,175.623562727879,1.21233053447482,1.00978849933835,1.19118475485963,78
"m_Me",1.7,4.35,6.37,3.79,84,0.68657,-0.62318,-0.62565,0.42524,0.77895,-0.55148,1.30975,-1.05089,1.33043,-2.1204,-0.7903,-1.1029,2.5174,-1.2044,-1.027,1.9575,1786.3512,3612.9536,1905.3997,1663.0302,59.0520858802693,1681.1438,31.1645056685252,1461.9654,1490.7524,1533.495,81.0225028273492,173.804962623355,1.21332146168565,1.00959051439482,1.19166547739624,78
"m_OMe",1.7,4.57,7.07,5.83,94,0.68699,-0.62318,-0.6251,0.42498,0.77841,-0.5495,1.31017,-1.05008,1.32791,-2.3403,-1.9751,-1.4897,3.4054,-1.1937,-2.156,2.3502,1785.2607,3612.2746,1906.4842,1657.4765,69.8284792094158,1685.6493,21.4237856513731,1462.2258,1492.1651,1533.3298,88.7494418818445,175.081433133768,1.21329902483024,1.00974843027509,1.19135661221147,71
"m_SMe",1.7,4.51,7.61,4.35,92,0.68672,-0.62195,-0.62517,0.42455,0.77808,-0.5484,1.30867,-1.04972,1.32648,-2.7421,-1.6899,-1.5048,3.5552,-1.124,-1.9691,2.7384,1787.2308,3610.5558,1907.494,1642.8659,74.690810394014,1668.8166,18.0447085087977,1462.5784,1492.1301,1533.3532,89.8982981742655,175.362222619503,1.21304590330333,1.00977544695541,1.19119195405485,93
"mp_Cl",1.7,4.53,7.82,4.41,92,0.68546,-0.61694,-0.624,0.42167,0.77758,-0.54772,1.3024,-1.04567,1.3253,-3.3651,1.7345,-1.2944,4.001,-1.2359,1.4711,3.5094,1789.8048,3619.5363,1907.3394,1631.6869,86.1173471587188,1667.7873,6.83719285460337,1463.1371,1490.9478,1533.5424,90.2832645061108,174.757404983665,1.21215733072155,1.00947110540619,1.19117588126733,39
